,jid,formula,voltages,max_voltages
0,JVASP-97915,Ba14Na14LiN6,[2.819833087921142],2.819833088
1,JVASP-42300,Li4Mn3Cr3O12,"[4.494368362426758, 4.436521339416504, 4.824345874786377, 5.772729206085205]",5.772729206
2,JVASP-86436,LiSbF6,[7.323087978363037],7.323087978
3,JVASP-48166,LiMn5O3F5,[4.307984161376953],4.307984161
4,JVASP-64377,Ba4LiHf,[2.773178029060363],2.773178029
5,JVASP-86322,LiO,"[5.411168384552002, 5.709296035766601, 6.902830410003662, 7.346366691589355]",7.346366692
6,JVASP-47962,Li2VO2F,"[5.6863143920898445, 7.539509582519531]",7.539509583
7,JVASP-18433,LiNiO2,[5.61028151512146],5.610281515
8,JVASP-43739,LiFeF3,"[6.704984474182129, 7.384736824035644]",7.384736824
9,JVASP-49773,LiTaO3,"[5.75225715637207, 4.950755882263183]",5.752257156
10,JVASP-43424,Li2MnCuO4,"[4.916414070129394, 6.021269607543945, 6.235895919799804, 6.719858932495117]",6.719858932
11,JVASP-1837,LiYSe2,[4.51839427947998],4.518394279
12,JVASP-18544,LiNiN,[4.399020957946777],4.399020958
13,JVASP-97428,LiH4SNO4,"[5.972118186950683, 5.971305656433105, 5.803767967224121, 5.825691032409668]",5.972118187
14,JVASP-43079,LiCuS,"[3.52157335281372, 4.527086067199707]",4.527086067
15,JVASP-22698,LiAgF2,"[8.176805782318116, 7.9326581239700324]",8.176805782
16,JVASP-64046,Ba4LiRh,[2.3709068775177],2.370906878
17,JVASP-42398,Li2FeO2F,"[6.645830917358398, 6.655746269226074, 5.526627588272094, 8.036796140670777]",8.036796141
18,JVASP-50690,LiCu2F6,"[7.412286329269409, 7.8299232006073005]",7.829923201
19,JVASP-43523,Li4VCr3O8,"[4.139158058166504, 4.820062446594238, 5.520602035522461, 6.175276565551758]",6.175276566
20,JVASP-47760,Li3CrSiO5,"[4.215041923522949, 4.770229148864746, 5.96888952255249, 6.844836521148681, 7.003442096710205, 8.084584522247315]",8.084584522
21,JVASP-48576,Li5Ti2Co3O10,"[4.468712615966797, 5.524028587341308, 6.442367839813232, 7.46112470626831, 7.136246490478515]",7.461124706
22,JVASP-48745,LiVCuO4,"[5.213063049316406, 5.258644866943359]",5.258644867
23,JVASP-50463,Li4CuSi2O7,"[7.454875755310058, 6.593871879577636, 6.624418067932129, 7.051717567443847]",7.454875755
24,JVASP-48232,LiMn7O12,[5.465525436401367],5.465525436
25,JVASP-13976,LiSmAlF6,"[2.690213966369628, 6.7454622268676765]",6.745462227
26,JVASP-52783,LiMnPO4,"[5.20325927734375, 5.064713287353515, 5.831332492828369, 7.674587535858154]",7.674587536
27,JVASP-86845,NaLi5N2,"[4.40479998588562, 3.9481640338897703, 3.9363043785095213, 4.265456008911133, 5.2929568767547615]",5.292956877
28,JVASP-15431,Li2CuO2,"[5.270111846923828, 6.809447574615478]",6.809447575
29,JVASP-48462,Li3CoOF3,"[6.788530874252319, 7.627029466629028, 8.311240601539613]",8.311240602
30,JVASP-47623,LiFeCoO4,"[6.747766304016113, 6.204745101928711, 6.494728851318359, 6.009504127502441]",6.747766304
31,JVASP-42721,LiFe2O2F3,"[7.377076435089111, 8.260846900939942]",8.260846901
32,JVASP-48922,Li2Mn2F7,"[6.268061923980713, 7.916950511932373, 7.363416481018066, 7.39512186050415]",7.916950512
33,JVASP-38540,LiYO3,[6.151828098297119],6.151828098
34,JVASP-38306,RbLiO3,[6.776255893707275],6.776255894
35,JVASP-85713,LiHS,"[4.321275997161865, 5.170458602905273, 4.813386011123657, 5.009722757339477]",5.170458603
36,JVASP-15260,Li2GaPt,"[2.587848711013793, 3.335232067108154]",3.335232067
37,JVASP-64429,Ba4LiSn,[2.33157615661621],2.331576157
38,JVASP-50760,LiAgF2,"[7.889039087295532, 8.284529733657838, 7.686605620384216, 8.096605229377747]",8.284529734
39,JVASP-64528,Ba4LiPb,[2.311020302772522],2.311020303
40,JVASP-98496,Li3P7,"[3.723767805099487, 3.49046139717102, 3.341766643524169, 3.022650051116943, 3.658612298965454, 3.203096437454223, 3.548318672180175, 3.444400119781494, 3.463130521774292, 3.4015799045562742, 3.207035589218139, 4.188526201248169]",4.188526201
41,JVASP-98174,Na2LiAlP2,"[2.574144172668457, 2.8608553886413572, 2.996684122085571, 3.260829973220825]",3.260829973
42,JVASP-15478,LiGa2Rh,[2.654215860366821],2.65421586
43,JVASP-2017,LiCoO2,[5.740596580505371],5.740596581
44,JVASP-15528,LiGa2Pd,[2.614785063266754],2.614785063
45,JVASP-42402,Li6TeO6,"[5.497657585144043, 7.577990341186523, 6.685809898376465, 6.361646938323974, 6.45917158126831, 6.421681928634643]",7.577990341
46,JVASP-50691,Li3TiP2O8,"[4.945634651184082, 5.240352439880371, 6.781438159942627, 7.316755580902099, 6.925972747802734, 6.73982982635498]",7.316755581
47,JVASP-47765,Li3Fe5O10,"[5.5832260131835945, 5.921205329895019, 7.135433006286621]",7.135433006
48,JVASP-43740,LiFeF3,"[5.340960788726806, 7.9645455360412605]",7.964545536
49,JVASP-97577,Li2CN2,"[4.14566593170166, 6.357496070861816]",6.357496071
50,JVASP-64094,Ba4LiRu,[2.209682035446167],2.209682035
51,JVASP-43081,LiCuS,"[3.8011255741119383, 4.209632921218872, 5.092049765586853, 5.18348639011383]",5.18348639
52,JVASP-1840,LiDySe2,[3.963265943527221],3.963265944
53,JVASP-64671,Ba4LiTi,[2.928119230270385],2.92811923
54,JVASP-42660,Li2TiFe3O8,"[5.917843151092529, 6.378312397003174]",6.378312397
55,JVASP-90534,Li4TiS4,"[3.602762508392334, 4.948930788040161, 6.311128664016723, 5.088082838058471]",6.311128664
56,JVASP-48750,LiVF3,"[4.021442222595215, 4.428827095031738]",4.428827095
57,JVASP-43524,LiV2F7,"[5.441031265258789, 5.447594451904297]",5.447594452
58,JVASP-43844,Li4Ti3V5O16,"[5.409160900115967, 4.666580486297607, 4.670323657989502, 5.503457355499267]",5.503457355
59,JVASP-64873,Ba4LiSe,[2.227016735076904],2.227016735
60,JVASP-64680,BaLiCa,[1.579745459556579],1.57974546
61,JVASP-48782,Li6MnF8,"[4.518907594680786, 5.733595418930053, 8.970650243759156, 7.832177925109863, 7.983037757873535, 8.577175545692445]",8.970650244
62,JVASP-48932,Li3VCrP4O14,"[5.275786209106445, 5.31413631439209, 5.679621505737304]",5.679621506
63,JVASP-48169,Li5MnO3F,"[3.82528429031372, 3.657633113861084, 5.23856143951416, 6.457307624816894, 6.042763042449951, 6.750301647186279, 8.804611968994141, 6.940157699584961, 6.948953914642334, 8.282523918151856]",8.804611969
64,JVASP-47967,LiVC2O6,[5.314365196228027],5.314365196
65,JVASP-90585,LiMg3,"[2.179070997238159, 3.277180242538452]",3.277180243
66,JVASP-48390,Li4Co3O3F4,"[7.088927316665649, 8.507024335861207, 8.453457880020142, 7.989829111099243]",8.507024336
67,JVASP-43529,LiV2F7,"[5.117208290100097, 6.042915153503418]",6.042915154
68,JVASP-47769,Li4Fe5O10,"[4.903162765502929, 5.692917156219482, 6.056819248199463, 7.254184532165527]",7.254184532
69,JVASP-48167,Li2VO2F,"[3.973933982849121, 4.704851913452148, 7.736389923095703, 7.385307121276855]",7.736389923
70,JVASP-50761,LiSi2BiO6,"[5.24681453704834, 7.061438369750976]",7.06143837
71,JVASP-48923,Li2MnO2F,"[4.6224201202392585, 5.910805511474609, 7.857555198669433, 8.654636192321778]",8.654636192
72,JVASP-52342,LiCuF4,"[8.060627269744874, 8.720542001724244]",8.720542002
73,JVASP-48311,Li4MnF7,"[6.460861730575561, 8.82530598640442, 8.921167898178101, 8.519489336013795]",8.921167898
74,JVASP-48233,Li4Mn5O10,"[4.34452896118164, 5.090595531463623, 5.029438304901123, 5.452899742126465]",5.452899742
75,JVASP-42722,LiCoOF2,"[6.415906953811645, 6.737968492507934]",6.737968493
76,JVASP-88159,SrLiCoF6,"[7.229545402526855, 7.600332069396972, 7.349959182739258, 7.546618270874023]",7.600332069
77,JVASP-48653,LiMnF4,"[6.752598094940185, 8.28807191848755, 8.031061935424805, 7.90399055480957]",8.288071918
78,JVASP-42308,Li2Co4O7F,"[6.080206203460693, 6.8013108253479]",6.801310825
79,JVASP-88373,LiAlB14,"[3.289925384521484, 3.64628677368164]",3.646286774
80,JVASP-98735,Ba3Li4Sn8,"[2.601457405090332, 2.750921118259429, 2.502018678188324, 3.019570577144622]",3.019570577
81,JVASP-64739,Ba4LiNb,[2.8561392307281492],2.856139231
82,JVASP-42666,Li3SbS4,"[4.927720832824707, 4.483514595031738, 4.710887241363525]",4.927720833
83,JVASP-48101,LiFeO2,"[4.889956283569336, 6.056711006164551]",6.056711006
84,JVASP-64916,Li4BeTc,"[1.9748455762863162, 2.100537228584289, 4.9444392204284675, 2.813422727584838]",4.94443922
85,JVASP-97999,LiVSi2O6,"[5.143857765197754, 5.412316131591797]",5.412316132
86,JVASP-48314,Li6MnO2F4,"[4.192462730407715, 4.839872646331787, 7.643034744262695, 7.8022201538085945, 7.325924444198608, 7.289304780960083, 9.258740234375, 7.58873062133789, 8.678535747528077, 8.234712886810303, 8.339384245872498, 8.8172678232193]",9.258740234
87,JVASP-48580,Li3MnF6,"[5.835652637481689, 7.379784870147705, 7.29960446357727, 8.491220045089722, 7.430404472351074, 8.204607295989991]",8.491220045
88,JVASP-88017,LiMnP,"[2.845397758483886, 2.969257164001464]",2.969257164
89,JVASP-48805,Li4MnO2F2,"[4.168207931518554, 5.520509529113769, 6.260212469100952, 6.280987787246704, 7.678153085708618, 7.377411413192749, 8.13254075050354, 6.76323561668396]",8.132540751
90,JVASP-98001,LiMnO4,"[6.166565227508545, 6.895057964324951]",6.895057964
91,JVASP-47772,Li3Fe7O12,"[4.9917481422424315, 5.276034641265869, 6.057163047790527]",6.057163048
92,JVASP-48391,Li4MnV3O8,"[4.199930000305176, 4.669915008544922, 4.984618949890136, 5.096579360961914]",5.096579361
93,JVASP-48474,Li2CoO2F,"[7.151973533630371, 6.429820823669433, 6.120878505706787, 8.42561845779419]",8.425618458
94,JVASP-65075,LiBe2Cl,[3.221781659126281],3.221781659
95,JVASP-42233,LiVF4,"[5.329394149780273, 6.6163447380065925]",6.616344738
96,JVASP-64616,Ba4LiGa,[2.817488479614257],2.81748848
97,JVASP-90586,LiMg,"[2.333194661140441, 2.542154002189636, 2.391609001159668, 2.41440372467041]",2.542154002
98,JVASP-42811,Li4CoO2F2,"[5.538100290298462, 6.672196197509765, 7.579027462005615, 8.205481815338135]",8.205481815
99,JVASP-50405,Li2V3S6,"[3.707793045043945, 3.618764686584472, 3.838219451904296, 4.333102035522461]",4.333102036
100,JVASP-43530,LiVF4,"[5.742097663879394, 5.726335334777832, 5.912878799438476, 5.946225929260254]",5.946225929
101,JVASP-47969,LiNiPO4,"[5.934184837341308, 5.743045616149902, 6.455984878540039, 6.344998168945312]",6.455984879
102,JVASP-64150,Ba4LiBe,[2.4831979751586912],2.483197975
103,JVASP-48654,Li2CrO3,"[5.258090305328369, 4.994743633270263, 5.542471218109131, 7.154570865631103, 5.3203170776367195, 6.881904411315918, 7.198157596588135, 6.196503925323486]",7.198157597
104,JVASP-87919,Li2BPt3,"[3.096968698501586, 2.849665689468383, 2.961745071411132, 3.19585256576538, 3.4904847621917723, 3.429493951797485, 4.126434135437011, 4.712117958068847]",4.712117958
105,JVASP-43762,Li3FeF6,"[6.215134906768799, 7.043116855621338, 8.582663106918336, 8.383000421524049, 7.723894643783569, 8.118061590194703]",8.582663107
106,JVASP-43643,Li2CoSnO4,"[4.795131015777588, 6.2882407188415534]",6.288240719
107,JVASP-18464,Li4H4Rh,"[2.551081466674804, 3.299252557754516, 3.854611444473266, 6.028306770324707]",6.02830677
108,JVASP-48806,LiVOF3,"[5.774775314331054, 6.4947860717773445, 5.767421054840088, 6.48279218673706]",6.494786072
109,JVASP-64472,Ba4LiSb,[2.114106941223144],2.114106941
110,JVASP-42920,Li3Fe4B4O12,"[5.328048992156982, 5.413265037536621, 6.090855407714844]",6.090855408
111,JVASP-88720,K11LiMn4O16,[5.047584819793701],5.04758482
112,JVASP-64345,Ba4LiP,[2.246116089820861],2.24611609
113,JVASP-64758,Ba4LiV,[2.295632290840148],2.295632291
114,JVASP-48392,Li3MnP2O8,"[5.520675468444824, 7.5314682006835945, 7.324470806121826, 7.274250316619873, 7.687978553771972, 6.93942813873291]",7.687978554
115,JVASP-43305,Li2Ni3SbO8,"[6.003648567199707, 6.118315982818603]",6.118315983
116,JVASP-64825,BaNaLi,[1.6469986915588382],1.646998692
117,JVASP-90587,Li3Mg,"[2.140853333473205, 2.358598160743713, 2.167695093154907, 2.37366132736206, 2.443945693969726, 1.5829990386962889]",2.443945694
118,JVASP-50409,Li8BiS6,"[3.669829654693603, 4.49612979888916, 5.419317054748535, 5.524026203155517, 6.32177619934082, 5.214644598960876, 5.135327267646789, 5.339437770843506]",6.321776199
119,JVASP-42234,Li3Cr2Ni2O8,"[5.879202651977539, 5.816726493835449, 6.227763938903808]",6.227763939
120,JVASP-91799,LiNbF6,[8.47142677307129],8.471426773
121,JVASP-48105,LiCoSiO4,"[6.229272174835205, 6.30292444229126]",6.302924442
122,JVASP-98194,KNaLi2S2O8,"[5.676171588897705, 5.62604169845581, 6.174115943908691, 6.29619197845459, 7.872219848632812, 7.903070735931396, 8.799429941177369, 8.768731164932252]",8.799429941
123,JVASP-48172,Li5Ti2Co5O12,"[4.793314266204834, 4.773155498504638, 5.758209991455078, 6.021991539001465, 6.645006942749023]",6.645006943
124,JVASP-86213,Li2ZnGe,"[2.684778082370758, 3.135592687129974, 2.927004981040954, 2.939365315437316, 3.741746711730957, 2.550545263290405, 3.544211196899414, 4.80928521156311]",4.809285212
125,JVASP-46857,Li2Co3SnO8,"[6.401073265075683, 6.52605037689209]",6.526050377
126,JVASP-98243,LiErP4O12,"[5.997624683380127, 6.452848720550537]",6.452848721
127,JVASP-42812,Li3VO3F2,"[5.089348602294922, 5.680849838256836, 7.071586418151855, 7.478297996520996, 6.997185516357422, 7.155463027954101]",7.478297997
128,JVASP-42633,LiMn2P2O8,"[6.170365619659424, 6.671064662933349]",6.671064663
129,JVASP-98010,BaLi4,"[2.423068928718566, 2.275030541419982, 2.40790079832077, 2.690377700328826, 2.529622304439544, 2.420662868022918, 2.2932278990745543, 2.16099225282669, 2.564188826084137, 2.005719649791717, 1.9424005031585692, 1.9524281501770022, 2.400728273391723, 1.962195205688476, 2.044736313819885, 1.4666406393051141, 2.35798602104187, 1.7620640277862551, 1.6780515193939212, 2.496940183639526, 2.310039806365966, 2.063106346130371, 1.60108094215393, 0.7829204082489011]",2.6903777
130,JVASP-50769,Li3CuF6,"[7.385753440856933, 8.390145111083985, 8.25546305179596, 9.109123396873475, 8.404595184326173, 8.446112442016602]",9.109123397
131,JVASP-42547,Li2Fe5O5F7,"[6.374570178985595, 7.65664963722229]",7.656649637
132,JVASP-42314,LiMnF4,"[7.006143856048584, 7.526966381072998, 8.110701370239259, 8.971004295349122]",8.971004295
133,JVASP-1399,Li2Te,"[4.409298944473266, 4.570583391189575]",4.570583391
134,JVASP-48660,LiY3WO8,[6.62341718673706],6.623417187
