jid,formula,max_voltage,voltages
JVASP-64045,Ba4TaZn,-4.076283068818665,[-4.076283068818665]
JVASP-64129,KBaZn,-4.0726124955841065,[-4.0726124955841065]
JVASP-92194,Mg6ZnFe,-3.5998522950836183,[-3.5998522950836183]
JVASP-64862,Ba4TlZn,-3.9144160463043214,[-3.9144160463043214]
JVASP-38278,RbZnO3,2.8617487238220214,[2.8617487238220214]
JVASP-92195,CeMg6Zn,-3.7167238904663087,[-3.7167238904663087]
JVASP-64437,Ba4NbZn,-3.9343793107696534,[-3.9343793107696534]
JVASP-64014,Ba4ZnPd,-3.9500379277893067,[-3.9500379277893067]
JVASP-64389,Ba4ZnPb,-4.05161544815979,[-4.05161544815979]
JVASP-64588,Ba4ZnIn,-3.902179451150513,[-3.902179451150513]
JVASP-64544,Ba4ZnTe,-4.115455122155762,[-4.115455122155762]
JVASP-91944,CaZn3Se4,-0.6673191501327516,[-1.9448979808517457, -0.6673191501327516, -0.8294206573196412]
JVASP-64547,Ba4ZnSb,-4.188517661256409,[-4.188517661256409]
JVASP-63927,Ba4ZnFe,-4.075603337449646,[-4.075603337449646]
JVASP-64549,Ba4MnZn,-4.061847419900513,[-4.061847419900513]
JVASP-63930,Ba4VZn,-4.059805126351929,[-4.059805126351929]
JVASP-64339,Ba4ZnGa,-3.5766434385009767,[-3.5766434385009767]
JVASP-64153,Ba4ZnSe,-4.095024318856812,[-4.095024318856812]
JVASP-97445,Ba3Zn5In2O11,3.5889683054260253,[-2.2988984300323487, 3.31057241423645, 3.5889683054260253, 0.7787833498291015, -0.4310979558654786, 2.5787120149902343, 0.567962198095703, 0.5532355593017577, 0.5034013078979491, 0.08223011954345694]
JVASP-64399,Ba4HfZn,-3.974829764527893,[-3.974829764527893]
JVASP-86213,Li2ZnGe,-2.7202056361862184,[-2.7751234485336305, -2.7202056361862184, -2.9648743583389283, -2.8841982795425416]
JVASP-98373,TlZn2Sb2,-2.0321626974769593,[-3.5950245572753907, -2.968783826989746, -2.736283691091156, -2.0321626974769593]
JVASP-64703,Ba4TiZn,-4.304713697595215,[-4.304713697595215]
JVASP-64216,Ba4BeZn,-4.222010345620728,[-4.222010345620728]
JVASP-64407,Ba4ZnCd,-3.786525221032715,[-3.786525221032715]
JVASP-64042,Ba4ZnSi,-3.9870736314483644,[-3.9870736314483644]
JVASP-64364,Ba4ZnBi,-4.2937287999816895,[-4.2937287999816895]
JVASP-64228,Ba4ScZn,-3.7593346549697877,[-3.7593346549697877]
JVASP-90864,Li2ZnSi,-3.3522003604599,[-3.4316361858078004, -3.3522003604599]
JVASP-64178,Ba4ZnSn,-4.141249389810181,[-4.141249389810181]
JVASP-64236,Ba4ZnGe,-3.900974841279602,[-3.900974841279602]
JVASP-64367,Ba4ZrZn,-4.132462949914551,[-4.132462949914551]
JVASP-98018,Li2ZnI4,0.9230568693450927,[-3.317487569017029, -1.860877723855591, -0.056249709291076755, 0.9230568693450927]
JVASP-64580,Ba4ZnCu,-4.094012947244263,[-4.094012947244263]
JVASP-65131,BeZnCd4,-4.612804384393311,[-4.612804384393311]
JVASP-65146,Hf4BeZn,-1.749193163079834,[-1.749193163079834]
JVASP-97532,Ba2ZnH6O6,0.10182455046691885,[-0.16605875031433115, 0.10182455046691885]
JVASP-65297,BeZnGe4,-4.087834568185425,[-4.087834568185425]
JVASP-65187,Be2ZnGe,-4.049085469407654,[-4.049085469407654]
JVASP-65053,BeNb4Zn,-2.458733530206299,[-2.458733530206299]
JVASP-65137,Na4BeZn,-4.1152970506378175,[-4.1152970506378175]
JVASP-65302,BeZnPt4,-2.247543068093872,[-2.247543068093872]
JVASP-65224,Ca4BeZn,-3.3257631971069337,[-3.3257631971069337]
JVASP-92163,Ca3Zn,-3.1179470731445313,[-3.415938825769043, -3.1179470731445313]
JVASP-65192,BeZnFe4,-2.501151294869995,[-2.501151294869995]
JVASP-21525,RbZnF3,8.54557636244812,[2.5335469530395507, 3.481738118963623, 4.310086040335083, 3.87884428961792, 6.573969869451904, 8.54557636244812]
JVASP-90724,Li2ZnSi,-2.354625554246521,[-3.3935271217056275, -2.354625554246521]
JVASP-90471,SrZn,-2.816160650415039,[-3.346649618310547, -3.497706861657715, -3.8561138822265626, -2.816160650415039]
JVASP-62267,TlZnAsO4,1.5187175558380126,[-0.5163597776123048, 0.974242715673828, 1.2943289564422606, 1.5187175558380126]
JVASP-45913,LiV3Zn2O8,-1.100577325982666,[-2.0714873983093263, -1.100577325982666]
JVASP-64980,TiBeZn,-1.9531662179656983,[-1.9531662179656983]
JVASP-97325,Na2ZnGe,-2.8454248620697022,[-3.6147973252960206, -2.8454248620697022]
JVASP-86991,KZnAs,-2.157698304814911,[-2.157698304814911, -2.347728045148468]
JVASP-65543,BaZnBi2,-4.51243087784729,[-4.51243087784729]
JVASP-86167,Na6ZnSn2,-3.6622779084869386,[-3.6622779084869386]
JVASP-65308,Sc4BeZn,-1.5854389383026124,[-1.5854389383026124]
JVASP-65737,BaZn4Br,-3.882896514100647,[-4.533696146173096, -4.371906252069092, -3.882896514100647, -4.798463673753357]
JVASP-86994,KZnSb,-2.560922236604309,[-2.594719262284851, -2.560922236604309]
JVASP-65517,BaZn2Ru,-1.4888518168159486,[-2.487398774785614, -1.4888518168159486]
JVASP-65454,BaZnPt2,-2.558222980661011,[-2.558222980661011]
JVASP-65400,BaZnTe2,-4.501442880792236,[-4.501442880792236]
JVASP-69156,Ba2MgZn,-3.1159829808898927,[-3.1159829808898927]
JVASP-88222,Rb2ZnCl4,1.0951510952285766,[1.0951510952285766, 1.0426963852218627, 0.22699704630889883, 0.16733875735321035]
JVASP-65474,BaZn2Ru,-1.5939492894836427,[-2.4876807643600465, -1.5939492894836427]
JVASP-66244,BaZnBi,-4.862094254655457,[-4.862094254655457]
JVASP-88747,TlZnPO4,2.1427521990112304,[-1.2158407880493165, 2.1427521990112304, 0.20109656317749014, 0.00561621649780264]
JVASP-65407,BaZnCr2,-3.01775953309021,[-3.01775953309021]
JVASP-69204,Ba2ZnPb,-3.38302174345932,[-3.38302174345932]
JVASP-69369,K2BaZn,-3.6497330381103517,[-3.6497330381103517]
JVASP-66166,BaNaZn,-4.186168642205811,[-4.186168642205811]
JVASP-86932,SrZn5,-2.8195979310699464,[-4.039304227990723, -3.696115942163086, -2.8195979310699464, -3.85988018052063, -4.341049881143189]
JVASP-91918,Ca3Zn,-3.578451366586304,[-3.6039819432922364, -3.578451366586304]
JVASP-65485,BaZnPt2,-2.5627248002716065,[-2.5627248002716065]
JVASP-66528,BaTlZn,-4.544355125588989,[-4.544355125588989]
JVASP-65534,Ba2ZnIn,-3.0055471374221803,[-3.0055471374221803]
JVASP-65412,BaZnP2,-3.9739470197387696,[-3.9739470197387696]
JVASP-66532,BaSrZn,-3.9960183812805177,[-3.9960183812805177]
JVASP-66381,BaZnPb,-4.65379092232666,[-4.65379092232666]
JVASP-66258,Ba4ZnMo,-3.8313530399032594,[-3.8313530399032594]
JVASP-91630,SrZnSbF,-2.7061823322006227,[-2.7061823322006227, -2.9608317329116822]
JVASP-69051,Ba2ZnBi,-3.590891392392731,[-3.590891392392731]
JVASP-66066,Ba4ZnW,-4.091478080911255,[-4.091478080911255]
JVASP-61805,NaZn4As3,-1.5532332374282838,[-2.792316646737671, -3.019186706704712, -2.0871027423568727, -1.5532332374282838]
JVASP-85686,Na2ZnH4Se2O10,0.5848543928436278,[0.5848543928436278]
JVASP-89930,Ba3Zn2As4,-1.8023271276184083,[-3.3958135558792115, -1.8023271276184083]
JVASP-66174,Ba4ZnTc,-3.7199065400787354,[-3.7199065400787354]
JVASP-65685,Ba2LiZn,-2.9862870885559083,[-2.9862870885559083]
JVASP-66623,BaZnCd,-4.319786758584595,[-4.319786758584595]
JVASP-66587,BaCaZn,-4.089988203210449,[-4.089988203210449]
JVASP-66154,Ba4ZnOs,-3.5319838239379884,[-3.5319838239379884]
JVASP-66230,BaMgZn,-4.348234863442993,[-4.348234863442993]
JVASP-65609,Ba2ZnSn,-3.5046132518478395,[-3.5046132518478395]
JVASP-65721,Ba2TlZn,-3.1167475892730714,[-3.1167475892730714]
JVASP-69295,BaZnBi2,-4.0975182964035035,[-4.0975182964035035]
JVASP-69177,BaZnBi2,-3.99488195912323,[-3.99488195912323]
JVASP-91922,CaZn,-2.6308982087799073,[-4.4305507852264405, -2.6308982087799073, -4.286396475, -3.8902868940063478]
JVASP-66555,Ba4ZnCo,-4.3532614423461915,[-4.3532614423461915]
JVASP-66124,BaZnSb,-4.773153038186646,[-4.773153038186646]
JVASP-66397,BaLiZn,-4.179627628488159,[-4.179627628488159]
JVASP-66953,BeZnRu,-3.5986506654449464,[-3.5986506654449464]
JVASP-69143,BaZnSe2,-2.106423230332947,[-2.106423230332947]
JVASP-69348,BaZnCl2,-5.044189901513672,[-5.044189901513672]
JVASP-67173,Be2ZnRe,-3.3310651494689942,[-3.3310651494689942]
JVASP-67105,Be2ZnIn,-3.7768704010673524,[-3.7768704010673524]
JVASP-68988,K2BaZn,-3.650315733117676,[-3.650315733117676]
JVASP-66194,Ba4ZnIr,-3.6428515626617433,[-3.6428515626617433]
JVASP-87971,K4ZnO3,1.4635229395202636,[0.4186353967956542, 0.14163020117797842, 0.2898960398010253, 1.4635229395202636]
JVASP-66364,Ba4ZnRh,-3.8797379447647096,[-3.8797379447647096]
JVASP-67338,Be2NbZn,-2.666828842324829,[-2.666828842324829]
JVASP-88947,CaZn2,-2.394264669580078,[-3.592207880181885, -3.4295534803100587, -3.4914385987945558, -3.2213647081085206, -2.8483886434265138, -2.394264669580078, -3.6838650418945313, -4.18334004418335]
JVASP-66567,BaZnTe,-4.75534817711792,[-4.75534817711792]
JVASP-69150,BaZnP2,-3.950458259744263,[-3.950458259744263]
JVASP-67780,TiBeZn2,-1.358002157373047,[-3.2114834500976563, -1.358002157373047]
JVASP-66527,Ba4ZnRe,-3.702376575631714,[-3.702376575631714]
JVASP-66642,Ba4ZnPt,-3.9083989574142457,[-3.9083989574142457]
JVASP-68174,HfBeZn2,-3.2462219907470704,[-3.2462219907470704, -3.8858942701049806]
JVASP-68108,KBeZn2,-3.7154528810211183,[-4.314248056573486, -3.7154528810211183]
JVASP-92176,KZn4P3,-0.42621770636520395,[-3.9135108305641175, -0.7476479126640321, -1.4827792956062318, -0.42621770636520395]
JVASP-88948,SrZn2,-3.082586260003662,[-3.695230455560303, -3.44040677086792, -3.082586260003662, -3.1868591024108888, -3.324730844659424, -3.161617250604248, -3.6691722585388185, -3.4548454000183106]
JVASP-69189,Ba2YZn,-3.0744064165779115,[-3.0744064165779115]
JVASP-67194,Be2ZnCr,-3.5688681317993165,[-3.5688681317993165]
JVASP-68711,Be2ZnMo,-3.379636736077881,[-3.379636736077881]
JVASP-68115,BeNbZn2,-3.203973026437378,[-3.203973026437378, -3.997997970742798]
JVASP-67536,Be2ZnPd,-3.7274934961029054,[-3.7274934961029054]
JVASP-68478,MgBeZn,-3.560740800065613,[-3.560740800065613]
JVASP-67362,LiBeZn,-3.1519593311973573,[-3.1519593311973573]
JVASP-67049,Be2ZnGe,-3.929758520288086,[-3.929758520288086]
JVASP-66797,MgBeZn,-3.35320350663147,[-3.35320350663147]
JVASP-68117,BeZn2Re,-3.4497017575927735,[-3.4497017575927735, -4.220778913659668]
JVASP-66904,HfBeZn,-2.7681336118408204,[-2.7681336118408204]
JVASP-90568,Mg3Zn,-3.476471872491455,[-3.476471872491455, -3.6326031400390626]
JVASP-67910,YBeZn2,-2.301338405770874,[-3.154825658959961, -2.301338405770874]
JVASP-67915,TaBeZn2,-3.228652210397339,[-3.228652210397339, -4.0447804643341065]
JVASP-73553,Be2ZnRh,-3.0807656957336427,[-3.0807656957336427]
JVASP-68723,BeZn2Cl,-3.278725118798828,[-3.278725118798828, -3.9982099248596192]
JVASP-67866,BeZn2In,-3.782117457551575,[-4.232909054917908, -3.782117457551575]
JVASP-88283,Na2ZnP2O7,4.356097726660156,[4.356097726660156, 4.296098260717773, 0.383049039678955, -0.03522583977661142]
JVASP-67710,ScBeZn2,-1.2592577649780274,[-3.42073485390625, -1.2592577649780274]
JVASP-66912,BeZnCl,-4.019634635610199,[-4.019634635610199]
JVASP-63516,KZnAs,-2.1946345283218385,[-2.1946345283218385, -2.351684422654724]
JVASP-91879,Mg7Zn,-3.605776519937134,[-3.605776519937134]
JVASP-67869,BeZn2Cu,-1.6732246591278077,[-3.6610104753204347, -1.6732246591278077]
JVASP-86815,Li2ZnGe,-2.8459652973838807,[-2.879398138684845, -2.8459652973838807, -2.8982438756652833, -2.897452087564087]
JVASP-68246,BeZn2Si,-1.7717177583404542,[-4.225803346795654, -1.7717177583404542]
JVASP-67292,HfBe2Zn,-2.7563192559906007,[-2.7563192559906007]
JVASP-68740,BeZnW,-3.55085918442688,[-3.55085918442688]
JVASP-68796,LiBeZn,-3.739926428956604,[-3.739926428956604]
JVASP-66998,ZrBeZn,-3.2972694350906373,[-3.2972694350906373]
JVASP-67630,ZrBeZn,-2.773036213082886,[-2.773036213082886]
JVASP-91780,NaZn4As3,-1.562864275140381,[-2.819715113801575, -3.1074830009170533, -2.0814230157562257, -1.562864275140381]
JVASP-67930,CaBeZn2,-2.8005957318969728,[-3.9244732572265626, -2.8005957318969728]
JVASP-73209,Be2ZnRu,-2.708688707513428,[-2.708688707513428]
JVASP-86312,SrZn5,-2.8195979310699464,[-4.039304227990723, -3.696115942163086, -2.8195979310699464, -3.8965489579864503, -4.304381103677368]
JVASP-68681,Be2ZnTe,-3.4590695811935426,[-3.4590695811935426]
JVASP-66757,BeZnMo,-3.4571673585601808,[-3.4571673585601808]
JVASP-86769,Na6ZnSn2,-3.662898273629761,[-3.662898273629761]
JVASP-67721,BeZnP,-4.395834655923462,[-4.395834655923462]
JVASP-67085,SrBe2Zn,-3.2512502385803224,[-3.2512502385803224]
JVASP-67010,BeZnCr,-3.7633890821166993,[-3.7633890821166993]
JVASP-68812,Mn2Be2Zn,-3.3902439786621095,[-3.3902439786621095]
JVASP-74093,BeZn2Cd,-3.694786997003174,[-4.006120653314209, -3.694786997003174]
JVASP-90847,SrZnAsF,-1.3854803754516603,[-2.93167349831543, -1.3854803754516603]
JVASP-68061,BeZn2Ir,0.36842515929260244,[-3.276142807168579, 0.36842515929260244]
JVASP-67724,BeZnNi4,-1.9474559737869264,[-1.9474559737869264]
JVASP-73332,Be2ZnCr,-2.5294346524902345,[-2.5294346524902345]
JVASP-91984,LiZnO2,2.6451473520568847,[0.4177966402343749, 2.6451473520568847]
JVASP-68008,BeZn2P,-1.9495640708633424,[-4.215671868486023, -1.9495640708633424]
JVASP-68157,BeZn2Mo,-0.6534137441345216,[-2.8387212468811036, -0.6534137441345216]
JVASP-72771,BeZnCo,-3.815299244088745,[-3.815299244088745]
JVASP-66855,Be2ZnBr,-3.6213954998680116,[-3.6213954998680116]
JVASP-69802,BeZnTe,-4.963818819684601,[-4.963818819684601]
JVASP-67314,YBeZn,-2.8267494155593873,[-2.8267494155593873]
JVASP-68633,Be2ZnGa,-3.964508981866455,[-3.964508981866455]
JVASP-68158,BeZn2Ge,-2.596469135446167,[-4.2426118566223145, -2.596469135446167]
JVASP-91697,BaZnAsF,-1.1978890611358644,[-3.0430624200531007, -1.1978890611358644]
JVASP-67947,BeZn2Bi,-3.470951171083069,[-4.536624283952332, -3.470951171083069]
JVASP-75824,BeZn2As,-3.6911305500694276,[-4.331011326474762, -3.6911305500694276]
JVASP-69931,Be2ZnCr,-3.691791267556763,[-3.691791267556763]
JVASP-70025,Be2ZnBr,-3.468996198339081,[-3.468996198339081]
JVASP-69871,BeZnP,-4.38536366955719,[-4.38536366955719]
JVASP-67330,Be2ZnFe,-3.1908986283966065,[-3.1908986283966065]
JVASP-74046,ScBeZn,-2.8629755689331056,[-2.8629755689331056]
JVASP-68831,BeZnGa,-3.8593156053253175,[-3.8593156053253175]
JVASP-69735,Be2ZnW,-3.2104839994140626,[-3.2104839994140626]
JVASP-68080,BeZn2Ge,-4.041594953698731,[-4.2647230340667726, -4.041594953698731]
JVASP-70843,YBeZn2,-3.189987273377991,[-3.189987273377991, -3.45988759533844]
JVASP-68836,Be2ZnSb,-3.7584199620910645,[-3.7584199620910645]
JVASP-70767,LiBeZn2,-3.152498932046509,[-3.890618295831299, -3.152498932046509]
JVASP-69747,BeZn2Pd2,-2.3418242646881104,[-3.9325588657089234, -2.3418242646881104]
JVASP-68168,BeZn2Sn,-3.1736871911712647,[-4.4313559247680665, -3.1736871911712647]
JVASP-71164,BeZn2Ga,-4.095939369363403,[-4.162948341531372, -4.095939369363403]
JVASP-68084,BeZn2Tc,0.5140679167083739,[-3.485554428262329, 0.5140679167083739]
JVASP-67614,BeZnCu4,-2.8853605701156617,[-2.8853605701156617]
JVASP-68088,BeZn2Se,-3.246320815248108,[-4.645681710404968, -3.246320815248108]
JVASP-70587,Be2ZnSi,-3.9440765096374513,[-3.9440765096374513]
JVASP-67957,BeZn2W,1.151160268621826,[-3.51096341149292, 1.151160268621826]
JVASP-71503,BeZnSn,-3.695856185121155,[-3.695856185121155]
JVASP-91248,LiNbZnO4,2.299314050512695,[0.9861274050048827, 2.299314050512695, -1.581351251763916, -1.5781478597351075]
JVASP-70133,BeZnSn4,-4.285387368363953,[-4.285387368363953]
JVASP-70957,SrBe2Zn,-3.920094223184204,[-3.920094223184204]
JVASP-71548,Be2ZnHg,-3.5973027660079957,[-3.5973027660079957]
JVASP-70885,BeZn2Co,-3.0473335696884156,[-3.0473335696884156, -4.316469521684265]
JVASP-70062,Be2ZnRe,-3.044204206628418,[-3.044204206628418]
JVASP-69590,Be2ZnPb,-4.452473611993408,[-4.452473611993408]
JVASP-69899,BeZnSi,-3.8093501044937135,[-3.8093501044937135]
JVASP-71211,BeZnRu4,-2.9058685018249513,[-2.9058685018249513]
JVASP-70065,Be2ZnTe,-3.1242357207962037,[-3.1242357207962037]
JVASP-96729,BaZn2As2,-1.3215410424896241,[-3.920634837312317, -3.011075349015808, -2.912030430001831, -3.382428379220581, -1.890520067376709, -1.4494530870147706, -1.693371744317627, -1.3215410424896241]
JVASP-91469,SrZnP2O7,3.0027594850830077,[-0.1000866605468751, 1.6539149568847655, 3.0027594850830077, 1.207204370336914]
JVASP-71556,Be2ZnIn,-3.287637920541382,[-3.287637920541382]
JVASP-71475,BeZnPb,-3.748621554536438,[-3.748621554536438]
JVASP-70452,BeZnTc,-3.6188492490478517,[-3.6188492490478517]
JVASP-71071,MgBeZn2,-3.715591163796997,[-3.8965441896148683, -3.715591163796997]
JVASP-71003,ScBe2Zn,-2.737997980279541,[-2.737997980279541]
JVASP-70746,BeZn2Pb,-3.400454254312134,[-4.13539287583313, -3.400454254312134]
JVASP-69843,MnBe2Zn,-3.6437987996765138,[-3.6437987996765138]
JVASP-69390,Be2ZnGa,-3.964916856450653,[-3.964916856450653]
JVASP-70147,TiBe2Zn,-3.212025137109375,[-3.212025137109375]
JVASP-74169,K2BeZn,-4.029877157373047,[-4.029877157373047]
JVASP-69771,BeZnPt,-3.6001369668670655,[-3.6001369668670655]
