group,jid,formula,score,avg_v,ehull
top,JVASP-117419,LiCr2P2O8,0.3256866255429928,4.419557332992554,0.0
top,JVASP-141543,Rb2LiFeF6,0.3156958611530508,4.079221248626709,0.0
top,JVASP-117295,Li3FeO3,0.31056162542596205,4.393623431523641,0.0006
top,JVASP-116849,LiV2F7,0.2965592761155006,4.187010049819946,0.0
top,JVASP-154749,Rb2LiFeF6,0.2851047183606379,4.253186464309692,0.0102
top,JVASP-96563,Li2MgMn3O8,0.27638369237998855,4.230054140090942,0.0
top,JVASP-95533,LiCoH24C8N8O12,0.2748182933872677,4.1045310497283936,0.0
top,JVASP-97428,LiH4SNO4,0.26037414899367517,4.010995149612427,0.0
control,JVASP-80802,,nan,1.0426032543182373,
control,JVASP-77457,,nan,1.0627192258834839,
control,JVASP-85076,,nan,1.105322241783142,
control,JVASP-81829,,nan,1.120349645614624,
